system_name,school_name,asian,black_or_african_american,american_indian_alaska_native,native_hawaiian_pacific_islander,white,two_or_more_races,hispanic_latino,year,total_enrollment_2022,econ_disadv,foster,gen_ed,homeless,migrant,military,swd,el,econ_disadv_pct_2022,foster_pct_2022,gen_ed_pct_2022,homeless_pct_2022,migrant_pct_2022,military_pct_2022,swd_pct_2022,el_pct_2022,asian_pct_2022,black_or_african_american_pct_2022,american_indian_alaska_native_pct_2022,native_hawaiian_pacific_islander_pct_2022,white_pct_2022,two_or_more_races_pct_2022,hispanic_latino_pct_2022,sum_pct_2022
Bibb County,Woodstock Elementary School,*,*,*,*,252,*,16,2022,280.0,156.0,,244.0,,,,36.0,,0.5571428571428572,,0.8714285714285714,,,,0.12857142857142856,,,,,,0.9,,0.05714285714285714,
Baldwin County,Orange Beach Middle/High School,*,*,*,*,476,29,25,2022,537.0,61.0,,468.0,,,,69.0,,0.11359404096834265,,0.8715083798882681,,,,0.12849162011173185,,,,,,0.8864059590316573,0.054003724394785846,0.04655493482309125,
Montgomery County,Brewbaker Technology Magnet High School,17,363,*,*,91,*,23,2022,506.0,126.0,,492.0,,,14.0,14.0,,0.2490118577075099,,0.9723320158102767,,,0.02766798418972332,0.02766798418972332,,0.03359683794466403,0.717391304347826,,,0.17984189723320157,,0.045454545454545456,
Dothan City,Kelly Springs Elementary School,17,210,*,*,161,35,77,2022,501.0,332.0,,386.0,,,19.0,115.0,46.0,0.6626746506986028,,0.7704590818363274,,,0.03792415169660679,0.22954091816367264,0.09181636726546906,0.033932135728542916,0.41916167664670656,,,0.3213572854291417,0.06986027944111776,0.1536926147704591,
Mobile County,Baker High School,103,797,*,*,1243,103,180,2022,2437.0,741.0,,2026.0,43.0,,134.0,411.0,73.0,0.30406237176856793,,0.8313500205170291,0.01764464505539598,,0.054985638079606075,0.16864997948297086,0.029954862535904802,0.042265080016413624,0.327041444398851,,,0.5100533442757489,0.042265080016413624,0.07386130488305294,
Montgomery County,Capitol Heights Middle School,*,450,15,*,28,*,179,2022,675.0,560.0,,602.0,,,,73.0,178.0,0.8296296296296296,,0.8918518518518519,,,,0.10814814814814815,0.2637037037037037,,0.6666666666666666,0.022222222222222223,,0.04148148148148148,,0.2651851851851852,
Marshall County,Douglas High School,*,*,*,*,345,*,262,2022,623.0,274.0,,503.0,35.0,13.0,,120.0,47.0,0.43980738362760835,,0.8073836276083467,0.056179775280898875,0.02086677367576244,,0.1926163723916533,0.0754414125200642,,,,,0.5537720706260032,,0.420545746388443,
Florence City,Florence Middle School,12,213,*,*,329,49,99,2022,702.0,315.0,,573.0,12.0,,14.0,129.0,29.0,0.44871794871794873,,0.8162393162393162,0.017094017094017096,,0.019943019943019943,0.18376068376068377,0.04131054131054131,0.017094017094017096,0.3034188034188034,,,0.4686609686609687,0.0698005698005698,0.14102564102564102,
Tuscaloosa County,Hillcrest High School,22,698,*,*,482,*,51,2022,1260.0,550.0,,1041.0,,,,219.0,18.0,0.4365079365079365,,0.8261904761904761,,,,0.1738095238095238,0.014285714285714285,0.01746031746031746,0.553968253968254,,,0.3825396825396825,,0.04047619047619048,
Cullman County,Holly Pond High School,*,*,*,*,*,*,27,2022,288.0,100.0,,209.0,,,,79.0,,0.3472222222222222,,0.7256944444444444,,,,0.2743055555555556,,,,,,,,0.09375,
DeKalb County,Ider School,*,*,94,*,473,*,19,2022,593.0,336.0,,427.0,,,,166.0,,0.5666104553119731,,0.7200674536256324,,,,0.2799325463743676,,,,0.15851602023608768,,0.7976391231028668,,0.03204047217537943,
Chambers County,John P Powell Middle School,*,104,*,*,*,*,*,2022,118.0,88.0,,87.0,,,,31.0,,0.7457627118644068,,0.7372881355932204,,,,0.2627118644067797,,,0.8813559322033898,,,,,,
Etowah County,John S Jones Elementary School,25,86,*,*,541,38,33,2022,724.0,317.0,,610.0,,,,114.0,,0.43784530386740333,,0.8425414364640884,,,,0.1574585635359116,,0.034530386740331494,0.11878453038674033,,,0.7472375690607734,0.052486187845303865,0.04558011049723757,
Marion County,Marion County High School,*,14,*,*,192,12,11,2022,230.0,127.0,,183.0,,,,47.0,,0.5521739130434783,,0.7956521739130434,,,,0.20434782608695654,,,0.06086956521739131,,,0.8347826086956521,0.05217391304347826,0.04782608695652174,
Monroe County,Monroeville Elementary School,*,371,*,*,37,21,*,2022,434.0,302.0,,342.0,13.0,,,92.0,,0.695852534562212,,0.7880184331797235,0.029953917050691243,,,0.2119815668202765,,,0.8548387096774194,,,0.08525345622119816,0.04838709677419355,,
Pell City,Pell City High School,13,153,*,*,873,11,43,2022,1095.0,428.0,,915.0,,,17.0,180.0,,0.3908675799086758,,0.8356164383561644,,,0.015525114155251141,0.1643835616438356,,0.011872146118721462,0.13972602739726028,,,0.7972602739726027,0.01004566210045662,0.039269406392694065,
Baldwin County,Perdido Elementary School,*,*,13,*,484,60,16,2022,578.0,317.0,,460.0,,,,118.0,,0.5484429065743944,,0.7958477508650519,,,,0.2041522491349481,,,,0.02249134948096886,,0.8373702422145328,0.10380622837370242,0.02768166089965398,
Jackson County,Pisgah High School,*,*,156,*,414,*,15,2022,594.0,209.0,,472.0,,,,122.0,,0.35185185185185186,,0.7946127946127947,,,,0.2053872053872054,,,,0.26262626262626265,,0.696969696969697,,0.025252525252525252,
Enterprise City,Rucker Boulevard Elementary School,*,140,*,*,201,*,93,2022,457.0,233.0,,383.0,19.0,,76.0,74.0,41.0,0.5098468271334792,,0.838074398249453,0.04157549234135667,,0.16630196936542668,0.16192560175054704,0.08971553610503283,,0.3063457330415755,,,0.43982494529540483,,0.20350109409190373,
Dallas County,Salem Elementary School,*,*,*,*,*,*,*,2022,172.0,143.0,,150.0,11.0,,,22.0,,0.8313953488372093,,0.872093023255814,0.06395348837209303,,,0.12790697674418605,,,,,,,,,
Cherokee County,Sand Rock High School,*,*,29,*,707,*,31,2022,779.0,404.0,,631.0,52.0,,,148.0,12.0,0.5186136071887034,,0.810012836970475,0.06675224646983312,,,0.18998716302952504,0.01540436456996149,,,0.037227214377406934,,0.9075738125802311,,0.03979460847240052,
